segment_id,reason
A6Z2B3J2A9_36_month_181_0_2,affected_video_mask_issue
A6Z2B3J2A9_36_month_181_0_3,affected_video_mask_issue
D4Y7P4G2V4_36_month_294_0_0,affected_video_mask_issue
D4Y7P4G2V4_36_month_294_0_1,affected_video_mask_issue
D4Y7P4G2V4_36_month_294_1_0,affected_video_mask_issue
D4Y7P4G2V4_36_month_294_1_1,affected_video_mask_issue
D4Y7P4G2V4_36_month_296_0_3,affected_video_mask_issue
E2P5Q8S5A7_unknown_319_0_0,user_specified
G7P6U6U2J5_14_month_197_0_10,affected_video_mask_issue
G7P6U6U2J5_14_month_197_0_7,affected_video_mask_issue
G7P6U6U2J5_14_month_197_0_8,affected_video_mask_issue
G7P6U6U2J5_14_month_197_0_9,affected_video_mask_issue
H7B1M3P5D9_36_month_74_0_4,user_specified
J3J0V4T8C3_14_month_52_0_0,user_specified
K2F6S2Q7M8_36_month_333_2_0,affected_video_mask_issue
L4M1H7J7G3_36_month_315_0_0,user_specified
N3L7A1I2B9_14_month_154_1_1,affected_video_mask_issue
N3L7A1I2B9_14_month_154_1_2,affected_video_mask_issue
N3L7A1I2B9_14_month_154_2_0,affected_video_mask_issue
N3L7A1I2B9_14_month_154_2_1,affected_video_mask_issue
S7V5F9U7N6_unknown_32_0_1,affected_video_mask_issue
S7V5F9U7N6_unknown_32_0_2,affected_video_mask_issue
